5481,-0.43,-1.98,10.26,-0.49,0.05,-0.00
5524,-0.56,-1.98,10.50,-0.51,0.04,0.01
5566,-0.36,-1.92,10.20,-0.50,0.04,0.03
5607,-0.35,-2.07,10.22,-0.53,0.08,0.01
5649,-0.60,-2.06,10.18,-0.53,0.06,-0.01
5691,-0.53,-2.14,10.10,-0.53,0.05,-0.01
5734,-0.28,-2.05,10.22,-0.49,0.08,-0.04
5777,-0.55,-2.09,9.90,-0.49,0.05,-0.04
5818,-0.49,-2.28,9.84,-0.52,0.06,-0.01
5860,-0.46,-2.35,10.04,-0.47,0.07,0.01
5902,-0.45,-2.32,10.02,-0.40,0.04,0.02
5943,-0.53,-2.21,9.85,-0.34,0.03,0.03
5984,-0.50,-2.14,9.58,-0.30,0.02,0.04
6024,-0.42,-2.09,9.54,-0.29,0.02,0.03
6065,-0.44,-2.03,9.42,-0.25,0.01,0.01
6106,-0.48,-2.13,9.52,-0.21,-0.01,0.01
6147,-0.42,-2.15,9.35,-0.15,-0.04,0.01
6189,-0.31,-2.10,9.23,-0.10,-0.04,-0.00
6232,-0.38,-2.04,9.33,-0.00,-0.03,0.01
6273,-0.41,-2.08,9.32,0.08,-0.04,0.03
6313,-0.34,-2.29,9.52,0.17,-0.04,0.03
6353,-0.48,-2.32,9.93,0.25,-0.04,0.01
6394,-0.44,-2.23,10.10,0.30,-0.01,0.00
6436,-0.54,-1.95,9.93,0.32,-0.05,0.00
6476,-0.49,-1.79,9.51,0.29,-0.08,0.02
6517,-0.40,-1.69,9.37,0.23,-0.10,0.06
6557,-0.40,-1.95,9.95,0.25,-0.11,0.08
6598,-0.40,-2.03,10.12,0.30,-0.11,0.06
6640,-0.49,-2.07,10.20,0.42,-0.12,0.07
6681,-0.50,-2.04,10.32,0.44,-0.10,0.06
6723,-0.43,-1.77,9.94,0.49,-0.11,0.06
6764,-0.47,-1.94,9.92,0.46,-0.12,0.05
6804,-0.38,-1.93,10.25,0.51,-0.14,0.03
6846,-0.61,-2.13,10.65,0.60,-0.16,0.05
6887,-0.28,-2.21,10.36,0.66,-0.16,0.07
6929,-0.37,-1.66,10.40,0.58,-0.12,0.11
6971,-0.69,-2.52,10.41,0.57,-0.16,0.08
7012,-0.31,-2.05,10.15,0.55,-0.13,-0.09
7055,-0.42,-1.59,10.61,0.55,-0.10,-0.10
7098,-0.36,-1.78,10.45,0.55,-0.14,-0.02
7140,-0.36,-1.48,10.25,0.57,-0.14,0.03
7182,-0.43,-1.63,10.07,0.48,-0.13,0.10
7223,-0.36,-1.62,10.26,0.41,-0.09,0.12
7265,-0.41,-1.73,10.28,0.40,-0.08,0.08
7307,-0.49,-1.39,10.09,0.35,-0.10,0.02
7348,-0.23,-1.41,9.85,0.31,-0.10,-0.02
7390,-0.45,-1.27,9.68,0.22,-0.06,0.01
7431,-0.26,-1.24,10.09,0.13,-0.06,0.00
7472,-0.34,-1.12,9.86,0.06,-0.03,0.04
7513,-0.42,-1.73,11.18,0.07,-0.03,0.08
7554,-0.18,-1.84,9.72,0.15,-0.05,0.04
7595,-0.20,-1.14,9.83,-0.01,0.02,-0.01
7636,-0.30,-1.40,9.79,-0.12,0.00,0.01
7676,-0.50,-1.53,10.11,-0.16,0.04,0.06
7718,-0.57,-1.63,10.36,-0.19,0.05,0.09
7760,-0.43,-1.54,9.99,-0.22,0.04,0.07
7800,-0.49,-1.52,10.05,-0.27,0.05,0.03
7842,-0.38,-1.42,9.59,-0.38,0.04,0.01
7882,-0.48,-1.63,10.68,-0.42,0.05,0.01
7924,-0.42,-1.55,9.92,-0.46,0.06,0.01
7965,-0.47,-1.67,9.96,-0.52,0.04,0.03
8005,-0.75,-2.10,10.78,-0.60,0.08,0.04
8047,-0.77,-1.90,10.18,-0.58,0.03,0.05
8088,-0.60,-2.05,10.36,-0.61,0.08,0.05
8130,-0.45,-1.90,10.40,-0.56,0.12,0.06
8172,-0.40,-1.92,10.08,-0.55,0.08,0.06
8213,-0.33,-2.07,10.28,-0.59,0.13,0.01
8255,-0.65,-2.03,10.42,-0.55,0.14,-0.03
8298,-0.51,-1.92,10.12,-0.57,0.09,-0.02
8340,-0.61,-2.12,10.49,-0.56,0.10,-0.02
8383,-0.50,-2.03,9.80,-0.55,0.08,-0.01
8425,-0.42,-2.12,10.02,-0.50,0.14,-0.02
8467,-0.72,-1.98,10.09,-0.48,0.07,0.01
8509,-0.45,-2.16,9.65,-0.40,0.09,0.02
8549,-0.62,-1.99,9.83,-0.35,0.08,0.00
8590,-0.58,-2.03,9.98,-0.30,0.02,0.00
8631,-0.38,-1.90,9.31,-0.25,0.04,0.00
8671,-0.74,-1.92,9.39,-0.24,0.03,0.01
8712,-0.73,-2.07,9.53,-0.19,0.00,0.03
8752,-0.38,-2.09,9.43,-0.12,-0.01,0.03
8794,-0.50,-2.05,9.50,-0.04,-0.01,0.04
8836,-0.69,-2.04,9.55,0.09,0.02,0.04
8875,-0.94,-1.94,9.81,0.11,-0.01,0.05
8915,-0.79,-1.97,9.44,0.21,-0.09,0.07
8956,-0.64,-1.85,9.45,0.25,-0.08,0.06
8996,-0.68,-1.71,9.84,0.26,-0.09,0.04
9037,-0.65,-1.51,9.57,0.29,-0.08,0.03
9077,-0.72,-1.27,9.89,0.24,-0.09,0.02
9118,-0.55,-1.48,9.74,0.28,-0.13,0.03
9159,-0.51,-1.63,9.86,0.27,-0.12,0.02
9199,-0.65,-1.95,9.87,0.24,-0.14,0.15
9240,-1.01,-2.07,10.16,0.35,-0.17,0.15
9281,-0.50,-1.58,10.14,0.47,-0.19,0.01
9323,-0.75,-1.79,10.33,0.52,-0.18,0.01
9365,-0.61,-1.65,10.17,0.53,-0.18,0.00
